Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Max Verstappen,2,1,2,2,1,18,1,1,1,,9,1,1,,2,2,1,1,2,2,2,1
Lewis Hamilton,1,2,1,1,7,15,2,2,4,12,2,3,2,,1,5,2,2,1,1,1,2
Valtteri Bottas,3,,3,3,,12,4,3,2,3,,12,3,3,5,1,6,15,3,,3,6
Sergio Pérez,5,11,4,5,4,1,3,4,6,16,,19,8,5,9,3,3,3,4,4,,15
Carlos Sainz Jr.,8,5,11,7,2,8,11,6,5,6,3,10,7,6,3,8,7,6,6,7,8,3
Lando Norris,4,3,5,8,3,5,5,5,3,4,,14,10,2,7,7,8,10,10,9,10,7
Charles Leclerc,6,4,6,4,,4,16,7,8,2,,8,5,4,15,4,4,5,5,8,7,10
Daniel Ricciardo,7,6,9,6,12,9,6,13,7,5,11,4,11,13,4,13,5,12,,12,5,12
Pierre Gasly,17,7,10,10,6,3,7,,9,11,5,6,4,,13,6,,4,7,11,6,5
Fernando Alonso,,10,8,17,13,6,8,9,10,7,4,11,6,8,6,16,,9,9,3,13,8
Esteban Ocon,13,9,7,9,9,,14,14,,9,1,7,9,10,14,10,,13,8,5,4,9
Sebastian Vettel,15,15,13,13,5,2,9,12,17,,,5,13,12,12,18,10,7,11,10,,11
Lance Stroll,10,8,14,11,8,,10,8,13,8,,20,12,7,11,9,12,14,,6,11,13
Yuki Tsunoda,9,12,15,,16,7,13,10,12,10,6,15,,,17,14,9,,15,13,14,4
George Russell,14,,16,14,14,17,12,,11,12,8,2,17,9,10,15,14,16,13,17,,
Kimi Räikkönen,11,13,,12,11,10,17,11,15,15,10,18,,,8,12,13,8,12,14,15,
Nicholas Latifi,18,,18,16,15,16,18,17,16,14,7,9,16,11,19,17,15,17,16,,12,
Antonio Giovinazzi,12,14,12,15,10,11,15,15,14,13,13,13,14,13,16,11,11,11,14,15,9,
Mick Schumacher,16,16,17,18,18,13,19,16,18,18,12,16,18,15,,19,16,,18,16,,14
Robert Kubica,,,,,,,,,,,,,15,14,,,,,,,,
Nikita Mazepin,,17,19,19,17,14,20,18,19,17,,17,,,18,20,17,18,17,18,,