Numero_identificacion,Ejercicio,Mes,Tipo_asentamiento,Nombre_asentamiento,Tipo_vialidad,Nombre_vialidad,Pista,Juegos_parque,Aparatos_ejercicio,Cancha,Bebederos,Botes_basura,Cantidad_botes,Georreferencia,Nota
1.0,2021,Enero Marzo,Colonia,Res. Periferico 1° Sec.,Calle,"Parque Anillo Vial Metropolitano, Entre Las Francisco Villa Y Av Universidad",si,si,si,no,no,si,2.0,"25.751013,-100.303712",El parque presenta un área verde total de 23791.22 m2
4.0,2021,Enero Marzo,Colonia,El Fundador,Calle,Plaza El Fundador; Piel Canela; Zacatecas,no,no,no,no,no,no,0.0,"25.758406,-100.27199",El parque presenta un área verde total de 12674.02 m2
2.0,2021,Enero Marzo,Colonia,Sin Colonia,Calle,Camellon De Republica Mexicana; Av Sendero Av Jorge Treviño,si,si,si,SI,si,si,39.0,"25.750785,-100.278082",El parque presenta un área verde total de 67372.51 m2
3.0,2021,Enero Marzo,Colonia,El Naranjal O Huertas De San Bartolo,Calle,Parque Chapala; Republica Mexicana; Morenita Mia,si,si,si,SI,si,si,5.0,"25.761138,-100.280892",El parque presenta un área verde total de 27767.51 m2
5.0,2021,Enero Marzo,Colonia,Las Puentes 3,Calle,Las Arboledas; Av Rep Mexicana; Av Las Puentes,si,si,si,SI,si,si,44.0,"25.742537,-100.284573",El parque presenta un área verde total de 44894.00 m2
9.0,2021,Enero Marzo,Colonia,Los Reales,Calle,"Los Reales, Carlista Y Franquista",si,si,si,si,si,si,54.0,"25.723311,-100.238867",El parque presenta un área verde total de 54871.00 m2
11.0,2021,Enero Marzo,Colonia,Jardines Del Mezquital,Calle,"Parque Lineal Anillo Elect , Diego D De Berlanga Y Avenida 1",si,si,si,si,no,si,10.0,"25.753215,-100.246878",El parque presenta un área verde total de 19913.80 m2
6.0,2021,Enero Marzo,Colonia,Las Puentes 2° Sec,Calle,Av. San Nicolas Y Cerro De Mamulique (Parque De Las Ranas),si,no,no,si,no,si,2.0,"25.739541,-100.288978",El parque presenta un área verde total de 8035.10 m2
7.0,2021,Enero Marzo,Colonia,Villas De Anahuac,Calle,Anillo Periferico Entre Rincon De Los Cedros Y Torres De Falcon,si,si,si,si,no,si,6.0,"25.752159,-100.31424",El parque presenta un área verde total de 27034.55 m2
8.0,2021,Enero Marzo,Colonia,Potrero Anahuac,Calle,Ave. La Juventud Y Ojo De Agua,si,si,si,no,si,si,15.0,"25.734211,-100.296073",El parque presenta un área verde total de 60000.00 m2
10.0,2021,Enero Marzo,Colonia,Hacienda Los Angeles,Calle,Camellon De Av Las Torres De Av Miguel Aleman A Pinos,si,si,si,si,no,si,7.0,"25.727052,-100.223965",El parque presenta un área verde total de 39182.28 m2
5.0,2021,Abril Junio,Colonia,Las Puentes 3,Calle,Las Arboledas; Av Rep Mexicana; Av Las Puentes,si,si,si,SI,si,si,44.0,"25.742537,-100.284573",El parque presenta un área verde total de 44894.00 m2
6.0,2021,Abril Junio,Colonia,Las Puentes 2° Sec,Calle,Av. San Nicolas Y Cerro De Mamulique (Parque De Las Ranas),si,no,no,si,no,si,2.0,"25.739541,-100.288978",El parque presenta un área verde total de 8035.10 m2
8.0,2021,Abril Junio,Colonia,Potrero Anahuac,Calle,Ave. La Juventud Y Ojo De Agua,si,si,si,no,si,si,15.0,"25.734211,-100.296073",El parque presenta un área verde total de 60000.00 m2
9.0,2021,Abril Junio,Colonia,Los Reales,Calle,"Los Reales, Carlista Y Franquista",si,si,si,si,si,si,54.0,"25.723311,-100.238867",El parque presenta un área verde total de 54871.00 m2
2.0,2021,Abril Junio,Colonia,Sin Colonia,Calle,Camellon De Republica Mexicana; Av Sendero Av Jorge Treviño,si,si,si,SI,si,si,39.0,"25.750785,-100.278082",El parque presenta un área verde total de 67372.51 m2
4.0,2021,Abril Junio,Colonia,El Fundador,Calle,Plaza El Fundador; Piel Canela; Zacatecas,no,no,no,no,no,no,0.0,"25.758406,-100.27199",El parque presenta un área verde total de 12674.02 m2
10.0,2021,Abril Junio,Colonia,Hacienda Los Angeles,Calle,Camellon De Av Las Torres De Av Miguel Aleman A Pinos,si,si,si,si,no,si,7.0,"25.727052,-100.223965",El parque presenta un área verde total de 39182.28 m2
1.0,2021,Abril Junio,Colonia,Res. Periferico 1° Sec.,Calle,"Parque Anillo Vial Metropolitano, Entre Las Francisco Villa Y Av Universidad",si,si,si,no,no,si,2.0,"25.751013,-100.303712",El parque presenta un área verde total de 23791.22 m2
3.0,2021,Abril Junio,Colonia,El Naranjal O Huertas De San Bartolo,Calle,Parque Chapala; Republica Mexicana; Morenita Mia,si,si,si,SI,si,si,5.0,"25.761138,-100.280892",El parque presenta un área verde total de 27767.51 m2
7.0,2021,Abril Junio,Colonia,Villas De Anahuac,Calle,Anillo Periferico Entre Rincon De Los Cedros Y Torres De Falcon,si,si,si,si,no,si,6.0,"25.752159,-100.31424",El parque presenta un área verde total de 27034.55 m2
11.0,2021,Abril Junio,Colonia,Jardines Del Mezquital,Calle,"Parque Lineal Anillo Elect , Diego D De Berlanga Y Avenida 1",si,si,si,si,no,si,10.0,"25.753215,-100.246878",El parque presenta un área verde total de 19913.80 m2
1.0,2021,Julio  Septiembre,Colonia,Res. Periferico 1° Sec.,Calle,"Parque Anillo Vial Metropolitano, Entre Las Francisco Villa Y Av Universidad",si,si,si,no,no,si,2.0,"25.751013,-100.303712","El parque presenta un área verde total de 23791.22 m2, cualquier reporte hacerlo al 8181581290"
5.0,2021,Julio  Septiembre,Colonia,Las Puentes 3,Calle,Las Arboledas; Av Rep Mexicana; Av Las Puentes,si,si,si,SI,si,si,44.0,"25.742537,-100.284573","El parque presenta un área verde total de 44894.00 m2,cualquier reporte hacerlo al 8181581290"
7.0,2021,Julio  Septiembre,Colonia,Villas De Anahuac,Calle,Anillo Periferico Entre Rincon De Los Cedros Y Torres De Falcon,si,si,si,si,no,si,6.0,"25.752159,-100.31424","El parque presenta un área verde total de 27034.55 m2,cualquier reporte hacerlo al 8181581290"
11.0,2021,Julio  Septiembre,Colonia,Jardines Del Mezquital,Calle,"Parque Lineal Anillo Elect , Diego D De Berlanga Y Avenida 1",si,si,si,si,no,si,10.0,"25.753215,-100.246878","El parque presenta un área verde total de 19913.80 m2,cualquier reporte hacerlo al 8181581290"
2.0,2021,Julio  Septiembre,Colonia,Sin Colonia,Calle,Camellon De Republica Mexicana; Av Sendero Av Jorge Treviño,si,si,si,SI,si,si,39.0,"25.750785,-100.278082","El parque presenta un área verde total de 67372.51 m2,cualquier reporte hacerlo al 8181581290"
3.0,2021,Julio  Septiembre,Colonia,El Naranjal O Huertas De San Bartolo,Calle,Parque Chapala; Republica Mexicana; Morenita Mia,si,si,si,SI,si,si,5.0,"25.761138,-100.280892","El parque presenta un área verde total de 27767.51 m2,cualquier reporte hacerlo al 8181581290"
4.0,2021,Julio  Septiembre,Colonia,El Fundador,Calle,Plaza El Fundador; Piel Canela; Zacatecas,no,no,no,no,no,no,0.0,"25.758406,-100.27199","El parque presenta un área verde total de 12674.02 m2,cualquier reporte hacerlo al 8181581290"
6.0,2021,Julio  Septiembre,Colonia,Las Puentes 2° Sec,Calle,Av. San Nicolas Y Cerro De Mamulique (Parque De Las Ranas),si,no,no,si,no,si,2.0,"25.739541,-100.288978","El parque presenta un área verde total de 8035.10 m2,cualquier reporte hacerlo al 8181581290"
8.0,2021,Julio  Septiembre,Colonia,Potrero Anahuac,Calle,Ave. La Juventud Y Ojo De Agua,si,si,si,no,si,si,15.0,"25.734211,-100.296073","El parque presenta un área verde total de 60000.00 m2,cualquier reporte hacerlo al 8181581290"
9.0,2021,Julio  Septiembre,Colonia,Los Reales,Calle,"Los Reales, Carlista Y Franquista",si,si,si,si,si,si,54.0,"25.723311,-100.238867","El parque presenta un área verde total de 54871.00 m2,cualquier reporte hacerlo al 8181581290"
10.0,2021,Julio  Septiembre,Colonia,Hacienda Los Angeles,Calle,Camellon De Av Las Torres De Av Miguel Aleman A Pinos,si,si,si,si,no,si,7.0,"25.727052,-100.223965","El parque presenta un área verde total de 39182.28 m2,cualquier reporte hacerlo al 8181581290"
2.0,2021,Octubre   Diciembre,Colonia,Sin Colonia,Calle,Camellon De Republica Mexicana; Av Sendero Av Jorge Treviño,si,si,si,SI,si,si,39.0,"25.750785,-100.278082","El parque presenta un área verde total de 67372.51 m2,cualquier reporte hacerlo al 8181581290"
4.0,2021,Octubre   Diciembre,Colonia,El Fundador,Calle,Plaza El Fundador; Piel Canela; Zacatecas,no,no,no,no,no,no,0.0,"25.758406,-100.27199","El parque presenta un área verde total de 12674.02 m2,cualquier reporte hacerlo al 8181581290"
5.0,2021,Octubre   Diciembre,Colonia,Las Puentes 3,Calle,Las Arboledas; Av Rep Mexicana; Av Las Puentes,si,si,si,SI,si,si,44.0,"25.742537,-100.284573","El parque presenta un área verde total de 44894.00 m2,cualquier reporte hacerlo al 8181581290"
8.0,2021,Octubre   Diciembre,Colonia,Potrero Anahuac,Calle,Ave. La Juventud Y Ojo De Agua,si,si,si,no,si,si,15.0,"25.734211,-100.296073","El parque presenta un área verde total de 60000.00 m2,cualquier reporte hacerlo al 8181581290"
9.0,2021,Octubre   Diciembre,Colonia,Los Reales,Calle,"Los Reales, Carlista Y Franquista",si,si,si,si,si,si,54.0,"25.723311,-100.238867","El parque presenta un área verde total de 54871.00 m2,cualquier reporte hacerlo al 8181581290"
10.0,2021,Octubre   Diciembre,Colonia,Hacienda Los Angeles,Calle,Camellon De Av Las Torres De Av Miguel Aleman A Pinos,si,si,si,si,no,si,7.0,"25.727052,-100.223965","El parque presenta un área verde total de 39182.28 m2,cualquier reporte hacerlo al 8181581290"
3.0,2021,Octubre   Diciembre,Colonia,El Naranjal O Huertas De San Bartolo,Calle,Parque Chapala; Republica Mexicana; Morenita Mia,si,si,si,SI,si,si,5.0,"25.761138,-100.280892","El parque presenta un área verde total de 27767.51 m2,cualquier reporte hacerlo al 8181581290"
6.0,2021,Octubre   Diciembre,Colonia,Las Puentes 2° Sec,Calle,Av. San Nicolas Y Cerro De Mamulique (Parque De Las Ranas),si,no,no,si,no,si,2.0,"25.739541,-100.288978","El parque presenta un área verde total de 8035.10 m2,cualquier reporte hacerlo al 8181581290"
7.0,2021,Octubre   Diciembre,Colonia,Villas De Anahuac,Calle,Anillo Periferico Entre Rincon De Los Cedros Y Torres De Falcon,si,si,si,si,no,si,6.0,"25.752159,-100.31424","El parque presenta un área verde total de 27034.55 m2,cualquier reporte hacerlo al 8181581290"
11.0,2021,Octubre   Diciembre,Colonia,Jardines Del Mezquital,Calle,"Parque Lineal Anillo Elect , Diego D De Berlanga Y Avenida 1",si,si,si,si,no,si,10.0,"25.753215,-100.246878","El parque presenta un área verde total de 19913.80 m2,cualquier reporte hacerlo al 8181581290"
1.0,2021,Octubre   Diciembre,Colonia,Res. Periferico 1° Sec.,Calle,"Parque Anillo Vial Metropolitano, Entre Las Francisco Villa Y Av Universidad",si,si,si,no,no,si,2.0,"25.751013,-100.303712","El parque presenta un área verde total de 23791.22 m2, cualquier reporte hacerlo al 8181581290"
